,location,patron type,item type,loan rule number,active
1,?????,999,999,16,Y
2,?????,"200-206,210-217,220-223","55,56,57,58",85,Y
3,?????,"0-10,12-24,27,30-31,210-21","208,212",85,Y
,,1,,,
4,?????,"0-10,12-24,27,30-31,210",209,116,Y
5,?????,"0-10,12-24,27,30-31,210",200,116,Y
6,?????,"200-206,210-215,220-223",59,88,Y
7,?????,"0-1,4-7,12,19,21,23,30-31","55,56,57,58",85,Y
8,?????,"2,3,8-9,13,19,21,30","55,56,57,58",88,Y
9,?????,999,"1,31,37,40",114,Y
10,MC*,"2-3,5,9,13,19,21,30","1,37,62",61,Y
11,MC*,7-Jun,"1,37,62",50,Y
12,MC*,10,"1,37,62",51,Y
13,MC*,"1,31","1,37,62",62,Y
14,MC*,"0,4,6-7,12,19,23-24","1,37,62",50,Y
15,MC*,"2-3,5,9,13,19,21,30","1,37,62",61,Y
16,MCC,"2-3,5,8-9,13,19,21,30","1,62",61,Y
17,MCD,"0-13,19,21,23-24,27,30-31,","53,62",46,Y
,,32,,,
18,MCF,"2-3,5,9,13,19,21,30","1,37,62",61,Y
19,MCI,"2-3,5,8-9,13,19,21,23,30","1,37,62",61,Y
20,MCIC,"2-3,5,8-9,13,19,21,23,30","1,62",61,Y
21,MCIJ,"2-3,5,8-9,13,19,21,23,30","1,37,62",61,Y
22,MCJ,"2-3,5,8-9,13,19,21,30","1,37,62",61,Y
23,MCM,"0-10,13,19,21,23-24,27,30-","1,62",50,Y
,,"31,32",,,
24,MCR,"0-10,13,19,21,23-24,27,30-","1,37,62",50,Y
,,"31,32",,,
25,MCS,"2-3,5,9,13,19,21,23,30,32","1,37,62",61,Y
26,MCT*,"0-10,13,19,21,23-24,30-31","38,62",46,Y
27,MCV*,"0-10,13,19,21,23-24,27,30-","39,62",46,Y
,,31,,,
28,ME*,0-55,0,16,Y
29,mjr,"1-24,27,30-31",1,16,Y
30,RA*,0-55,0,16,Y
31,RC*,0-55,"0,62",16,Y
32,RC*,"1,31","1,30,62",69,Y
33,RC*,"5,7,8","1,30,62",32,Y
34,RC*,"0,4,6,12,23-24","1,30,62",1,Y
35,RC*,"2-3,9,13,19,21,30,32","1,30,62",17,Y
36,RC*,"0-1,4,6-7,12,19,21,23-24,3","2,62",4,Y
,,1,,,
